법정동,지번,아파트이름,전용면적,계약년도,계약월,계약일,거래금액(만원),건축년도
병점동,821,느치미마을주공뜨란채3단지,84.91,2020,1,10,"23,800",2004
청계동,550,KCC스위첸아파트,84.01,2020,1,13,"51,500",2015
능동,1109,능동마을이지더원,78.2912,2020,1,22,"39,000",2008
목동,494,호반베르디움센트럴포레,84.8388,2020,1,11,"43,000",2017
봉담읍 와우리,597,봉담센트럴푸르지오,84.6797,2020,1,22,"32,500",2017
반월동,870,신영통현대4차,84.9485,2020,1,31,"27,000",2002
능동,1131,자연앤데시앙,74.6,2020,1,28,"29,900",2008
봉담읍 동화리,580,휴먼시아동화마을(6단지),84.91,2020,1,29,"22,700",2007
봉담읍 동화리,580,휴먼시아동화마을(6단지),84.91,2020,1,28,"24,000",2007
영천동,720,동탄역포레너스,84.5442,2020,1,2,"43,000",2017
기산동,466,신동탄푸르지오,101.8619,2020,1,28,"24,000",2005
병점동,866,다정마을신한에스빌1차,84.8819,2020,1,23,"19,500",2005
진안동,908,진안골마을주공10단지,59.56,2020,1,31,"19,700",2004
능동,1132,동탄숲속마을 모아미래도1단지,84.13,2020,1,28,"38,000",2008
능동,1131,자연앤데시앙,84.84,2020,1,31,"34,000",2008
진안동,911,진안골마을주공11단지,84.99,2020,1,22,"22,200",2004
오산동,1001,동탄역더샵센트럴시티2차,74.85,2020,1,22,"57,000",2018
송동,693,동탄2하우스디더레이크,74.96,2020,1,28,"57,850",2016
반송동,140,솔빛마을서해그랑블,100.705,2020,1,14,"56,500",2007
능동,1131,자연앤데시앙,59.52,2020,1,16,"24,250",2008
병점동,858,정든마을신창2차,101.983,2020,1,21,"26,700",2004
영천동,720,동탄역포레너스,84.5202,2020,1,30,"50,000",2017
목동,494,호반베르디움센트럴포레,84.8388,2020,1,14,"47,400",2017
반월동,960,e편한세상반월나노시티역,75.94,2020,1,20,"49,500",2017
능동,1126,동탄숲속마을 능동역 리체 더 포레스트,110.1671,2020,1,22,"40,000",2008
능동,1151,푸른마을모아미래도,83.737,2020,1,9,"28,300",2008
봉담읍 와우리,597,봉담센트럴푸르지오,84.7474,2020,1,23,"31,500",2017
영천동,651-1397,동탄퍼스트파크,72.5957,2020,1,30,"25,500",2003
병점동,817,병점역센트럴허브시티,59.997,2020,1,20,"21,500",2004
송산면 사강리,693-1,화성사강영도엘리시아,57.5,2020,1,30,"20,106",2019
송산면 사강리,693-1,화성사강영도엘리시아,59.39,2020,1,20,"20,467",2019
병점동,822,느치미마을2단지,51.86,2020,1,28,"16,100",2004
반월동,944,에스케이뷰파크,59.9985,2020,1,15,"38,500",2015
병점동,817,병점역센트럴허브시티,84.925,2020,1,23,"25,900",2004
능동,1134,포스코더샵2차,76.5336,2020,1,8,"34,150",2008
병점동,817,병점역센트럴허브시티,84.925,2020,1,22,"23,200",2004
병점동,871,병점역효성해링턴플레이스,84.8683,2020,1,20,"33,000",2013
병점동,817,병점역센트럴허브시티,84.925,2020,1,22,"25,300",2004
장지동,1009,레이크반도유보라아이비파크9.0,93.3858,2020,1,23,"46,000",2017
병점동,520,병점역한일타운,59.97,2020,1,31,"14,700",2001
반월동,860,신영통현대3차,84.93,2020,1,20,"23,000",2001
능동,1150,동탄푸른마을신일해피트리,59.05,2020,1,31,"24,000",2008
반송동,93-3,동탄파라곤,170.97,2020,1,9,"70,850",2010
병점동,485,한신,84.918,2020,1,4,"19,400",1999
오산동,1047,동탄2신도시금강펜테리움센트럴파크Ⅰ,69.9678,2020,1,19,"38,000",2016
병점동,817,병점역센트럴허브시티,84.925,2020,1,21,"24,000",2004
봉담읍 와우리,597,봉담센트럴푸르지오,84.7594,2020,1,21,"30,000",2017
병점동,819,안화동마을주공9단지,84.87,2020,1,18,"23,500",2005
